feature,importance,fold
CODE_GENDER,183,1
FLAG_OWN_CAR,6,1
FLAG_OWN_REALTY,14,1
CNT_CHILDREN,14,1
AMT_INCOME_TOTAL,147,1
AMT_CREDIT,343,1
AMT_ANNUITY,537,1
AMT_GOODS_PRICE,339,1
REGION_POPULATION_RELATIVE,306,1
DAYS_BIRTH,718,1
DAYS_EMPLOYED,503,1
DAYS_REGISTRATION,323,1
DAYS_ID_PUBLISH,446,1
OWN_CAR_AGE,261,1
FLAG_MOBIL,0,1
FLAG_EMP_PHONE,0,1
FLAG_WORK_PHONE,85,1
FLAG_CONT_MOBILE,0,1
FLAG_PHONE,37,1
FLAG_EMAIL,0,1
CNT_FAM_MEMBERS,21,1
REGION_RATING_CLIENT,15,1
REGION_RATING_CLIENT_W_CITY,113,1
HOUR_APPR_PROCESS_START,107,1
REG_REGION_NOT_LIVE_REGION,0,1
REG_REGION_NOT_WORK_REGION,0,1
LIVE_REGION_NOT_WORK_REGION,5,1
REG_CITY_NOT_LIVE_CITY,65,1
REG_CITY_NOT_WORK_CITY,4,1
LIVE_CITY_NOT_WORK_CITY,17,1
EXT_SOURCE_1,1029,1
EXT_SOURCE_2,894,1
EXT_SOURCE_3,971,1
APARTMENTS_AVG,50,1
BASEMENTAREA_AVG,52,1
YEARS_BEGINEXPLUATATION_AVG,59,1
YEARS_BUILD_AVG,26,1
COMMONAREA_AVG,33,1
ELEVATORS_AVG,12,1
ENTRANCES_AVG,41,1
FLOORSMAX_AVG,34,1
FLOORSMIN_AVG,12,1
LANDAREA_AVG,68,1
LIVINGAPARTMENTS_AVG,47,1
LIVINGAREA_AVG,37,1
NONLIVINGAPARTMENTS_AVG,25,1
NONLIVINGAREA_AVG,34,1
APARTMENTS_MODE,58,1
BASEMENTAREA_MODE,42,1
YEARS_BEGINEXPLUATATION_MODE,73,1
YEARS_BUILD_MODE,20,1
COMMONAREA_MODE,24,1
ELEVATORS_MODE,18,1
ENTRANCES_MODE,23,1
FLOORSMAX_MODE,10,1
FLOORSMIN_MODE,23,1
LANDAREA_MODE,58,1
LIVINGAPARTMENTS_MODE,29,1
LIVINGAREA_MODE,29,1
NONLIVINGAPARTMENTS_MODE,8,1
NONLIVINGAREA_MODE,52,1
APARTMENTS_MEDI,36,1
BASEMENTAREA_MEDI,44,1
YEARS_BEGINEXPLUATATION_MEDI,82,1
YEARS_BUILD_MEDI,19,1
COMMONAREA_MEDI,42,1
ELEVATORS_MEDI,5,1
ENTRANCES_MEDI,21,1
FLOORSMAX_MEDI,4,1
FLOORSMIN_MEDI,5,1
LANDAREA_MEDI,65,1
LIVINGAPARTMENTS_MEDI,50,1
LIVINGAREA_MEDI,51,1
NONLIVINGAPARTMENTS_MEDI,11,1
NONLIVINGAREA_MEDI,37,1
TOTALAREA_MODE,123,1
OBS_30_CNT_SOCIAL_CIRCLE,75,1
DEF_30_CNT_SOCIAL_CIRCLE,90,1
OBS_60_CNT_SOCIAL_CIRCLE,58,1
DEF_60_CNT_SOCIAL_CIRCLE,42,1
DAYS_LAST_PHONE_CHANGE,264,1
FLAG_DOCUMENT_2,0,1
FLAG_DOCUMENT_3,71,1
FLAG_DOCUMENT_4,0,1
FLAG_DOCUMENT_5,0,1
FLAG_DOCUMENT_6,4,1
FLAG_DOCUMENT_7,0,1
FLAG_DOCUMENT_8,3,1
FLAG_DOCUMENT_9,0,1
FLAG_DOCUMENT_10,0,1
FLAG_DOCUMENT_11,3,1
FLAG_DOCUMENT_12,0,1
FLAG_DOCUMENT_13,0,1
FLAG_DOCUMENT_14,0,1
FLAG_DOCUMENT_15,0,1
FLAG_DOCUMENT_16,27,1
FLAG_DOCUMENT_17,0,1
FLAG_DOCUMENT_18,27,1
FLAG_DOCUMENT_19,0,1
FLAG_DOCUMENT_20,0,1
FLAG_DOCUMENT_21,0,1
AMT_REQ_CREDIT_BUREAU_HOUR,0,1
AMT_REQ_CREDIT_BUREAU_DAY,6,1
