feature,importance,importance_normalized,cumulative_importance
PAYMENT_RATE,1128.6,0.07175463804788729,0.07175463804788729
EXT_SOURCE_1,1005.5,0.0639281309207431,0.1356827689686304
EXT_SOURCE_3,960.6,0.06107345854049311,0.19675622750912353
EXT_SOURCE_2,913.9,0.05810434495123533,0.25486057246035887
DAYS_BIRTH,718.4,0.045674758083999845,0.3005353305443587
AMT_ANNUITY,537.4,0.0341670587337716,0.33470238927813034
DAYS_EMPLOYED,510.9,0.03248222982337907,0.3671846191015094
APPROVED_CNT_PAYMENT_MEAN,432.5,0.027497679386595118,0.39468229848810454
DAYS_ID_PUBLISH,431.5,0.027434100937146343,0.42211639942525087
INCOME_CREDIT_PERC,415.3,0.026404130056076194,0.44852052948132703
ACTIVE_DAYS_CREDIT_MAX,404.7,0.02573019849191918,0.4742507279732462
INSTAL_DAYS_ENTRY_PAYMENT_MAX,402.7,0.02560304159302163,0.4998537695662678
INSTAL_DPD_MEAN,376.4,0.02393092837251885,0.5237846979387867
DAYS_REGISTRATION,354.8,0.022557633864425313,0.546342331803212
DAYS_EMPLOYED_PERC,354.3,0.022525844639700927,0.568868176442913
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,353.0,0.02244319265541752,0.5913113690983305
AMT_CREDIT,345.6,0.021972712129496585,0.6132840812278271
PREV_CNT_PAYMENT_MEAN,338.7,0.021534020828300037,0.6348181020561271
AMT_GOODS_PRICE,321.8,0.020459545032615746,0.6552776470887428
INSTAL_AMT_PAYMENT_SUM,314.7,0.02000813804152944,0.6752857851302723
REGION_POPULATION_RELATIVE,307.7,0.019563088895388017,0.6948488740256603
INSTAL_DBD_SUM,304.8,0.01937871139198657,0.7142275854176469
DAYS_LAST_PHONE_CHANGE,294.9,0.0187492847424437,0.7329768701600906
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,294.5,0.018723853362664192,0.7517007235227549
CLOSED_DAYS_CREDIT_MAX,290.3,0.018456823874979336,0.7701575473977342
OWN_CAR_AGE,272.2,0.01730605393995651,0.7874636013376908
CLOSED_DAYS_CREDIT_ENDDATE_MAX,271.1,0.017236117645562862,0.8046997189832537
APPROVED_DAYS_DECISION_MAX,266.1,0.016918225398318987,0.8216179443815727
POS_MONTHS_BALANCE_SIZE,257.4,0.016365092888114642,0.8379830372696873
ACTIVE_AMT_CREDIT_SUM_SUM,252.5,0.016053558485815647,0.854036595755503
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,248.4,0.01579288684307567,0.8698294825985786
BURO_DAYS_CREDIT_MAX,245.7,0.015621225029563979,0.8854507076281426
BURO_DAYS_CREDIT_ENDDATE_MAX,243.2,0.015462278905942041,0.9009129865340847
INSTAL_AMT_PAYMENT_MIN,241.8,0.015373269076713757,0.9162862556107985
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,224.9,0.014298793281029462,0.9305850488918279
ACTIVE_DAYS_CREDIT_MEAN,223.8,0.014228856986635811,0.9448139058784637
INSTAL_DBD_MAX,219.4,0.0139491118090612,0.9587630176875249
CLOSED_AMT_CREDIT_SUM_MEAN,218.6,0.01389824904950218,0.9726612667370271
BURO_AMT_CREDIT_SUM_DEBT_MEAN,216.3,0.013752018615769999,0.9864132853527972
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,213.7,0.013586714647203183,1.0000000000000004
